CustomerSurveys;SRV.MS;;;;CBK;CustomerSurveys
CustomerSurveysPreview;CA.APP;;;;CBK;ECHANNELS
CustomersPremium;SRV.MS;;;;CBK;CustomersPremium
DDCARD;SRV.DS;;;;CBK;Cards
DDCards;SRV.LIB;;;;CBK;Cards
DDIAPI;SRV.MS;;;;CORP;datapool
DDIBCK;SRV.DS;;;;CORP;datapool
DDISPA;CA.APP;;;;CORP;datapool
DOCSER;SRV.DS;;;;CBK;DocumentManagementAndArchive
DOLICS;SRV.DS;;;;CBK;DocumentManagementAndArchive
DOLIVE;SRV.DS;;;;CBK;DOCUMENTMANAGEMENTANDARCHIVE
DRVDRV;SRV.DS;;;;CBK;CustomerManagement
DSLDSL;SRV.DS;;;;CBK;PAYMENTS
DashBoardTradeFinance;CA.APP;;;;CBK;CORPORATETRADEBANKINGPOSITIONKEEPING
DeferredSignature;SRV.MS;;;;CBK;CrossChannel
DetailFinancingTrade;CA.APP;;;;CBK;ECHANNELS
DeudaTecnicaWidget;CA.WID;;;;CBK;idea
DeveloperPortalRally;CA.APP;;;;CBK;idea
DeveloperPortalTechnicalDebt;CA.APP;;;;CBK;idea
DevelopmentEnvironmentCBI;SRV.MS;;;;CBK;ITMANAGEMENT
DigitalMarketingLanding;CA.APP;;;;CBK;Sales
DigitalMarketingPreview;CA.APP;;;;CBK;customerCampaignManagement
DigitalMarketingProposalCampaigns;CA.WID;;;;CBK;customerCampaignManagement
DigitalMarketingProposalCampaigns;SRV.MS;;;;CBK;customerCampaignManagement
DirectDebit;SRV.MS;;;;CBK;Payments
DirectDebitBills;CA.APP;;;;CBK;PAYMENTS
DirectDebitMandate;SRV.MS;;;;CBK;Payments
DiscretionaryPortfolioManag;SRV.MS;;;;CBK;InvestmentManagement
DiversosClientes;SRV.MS;;;;CBK;Party
DiversosComercial;SRV.MS;;;;CBK;Marketing
DiversosDocEmpresas;SRV.MS;;;;CBK;DocumentServices
DiversosGestionFlujos;SRV.MS;;;;CBK;CrossChannel
DiversosPolizas;SRV.MS;;;;CBK;InsuranceProducts
DiversosSimulaciones;SRV.MS;;;;CORP;Sales
DocumentIaAdministratorTool;CA.APP;;;;CBK;DOCUMENTMANAGEMENTANDARCHIVE
DocumentLibrary;SRV.MS;;;;CBK;DocumentManagementAndArchive
DocumentLibraryCognitiveServices;SRV.MS;;;;CBK;DocumentManagementAndArchive
DocumentLibraryDigitalFile;SRV.MS;;;;CBK;DocumentManagementAndArchive
DocumentLibraryMediaFiles;SRV.MS;;;;CBK;DocumentLibraryMediaFiles
DocumentLibraryVerification;SRV.MS;;;;CBK;DocumentManagementandArchive
DocumentService;SRV.MS;;;;CBK;DocumentManagementAndArchive
DocumentServicesCBI;SRV.MS;;;;CBK;DocumentManagementAndArchive
DocumentServicesConsumerFinance;SRV.MS;;;;CBK;DocumentManagementAndArchive
DocumentaryManagement;CA.APP;;;;CBK;DocumentManagementAndArchive
DocumentaryManagement;SRV.MS;;;;CBK;DOCUMENTMANAGEMENTANDARCHIVE
EBOPLI;SRV.DS;;;;CBK;ChannelSpecific
EBranchManagement;SRV.MS;;;;CBK;eChannels
EBranchManagementPreview;CA.APP;;;;CBK;ebranchmanagement
EBranchOperations;SRV.CFG;;;;CBK;ECHANNELS
EBranchOperationsLifeInsurance;CA.APP;;;;CBK;EBranchOperations
EBranchOperationsTester;SRV.MS;;;;CBK;ECHANNELS
EEREER;SRV.DS;;;;CBK;DocumentManagementAndArchive
EINVOI;SRV.DS;;;;CBK;Payments
EInvoice;CA.APP;;;;CBK;Payments
ELEGIB;SRV.DS;;;;CBK;customerProdAndServEligibility
EMPASE;SRV.DS;;;;CBK;TradeBanking
ERRMGR;SRV.DS;;;;CORP;infraestructuras
ERRMGR;SRV.LIB;;;;CORP;infreaestructuras
ETPETP;SRV.DS;;;;CBK;cardPrinting
EXTSER;SRV.DS;;;;CBK;apps
EligibilityDeposits;SRV.MS;;;;CBK;CUSTOMERMANAGEMENT
EmployeeAccessCBI;SRV.MS;;;;CBK;HUMANRESOURCES
EmployeeContactHandler;SRV.MS;;;;CBK;BRANCHCHANNEL
EmployeePaymentServices;SRV.MS;;;;CBK;TradeBanking
EndorsementsNonLifeInsuance;SRV.MS;;;;CBK;Endorsements
FACINT;SRV.DS;;;;CBK;FinancialControl
FACTOR;SRV.DS;;;;CBK;financiacionfacturasfactoring
FINGAT;SRV.DS;;;;CBK;PAYMENTS
FOFOOP;SRV.DS;;;;CBK;TradeBanking
